date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:22	19655/19655	---M--	200	added ('OK')	image/png	etag:%229644d0ed5d46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/availableWhenYouNeedUs_icon.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/availableWhenYouNeedUs_icon.png	(from http://www.livebroker.com.au/)
10:54:22	19560/19560	---M--	200	added ('OK')	image/png	etag:%227f17a5f05d46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/freeAndUnbiased.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/freeAndUnbiased.png	(from http://www.livebroker.com.au/)
10:54:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:22%20GMT	http://www.livebroker.com.au/getattachment/43c8be60-558a-41d1-8761-32cdd8c91011/Paying-off-your-home-sooner.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/43c8be60-558a-41d1-8761-32cdd8c91011/Paying-off-your-home-sooner.2b.delayed	(from http://www.livebroker.com.au/)
10:54:24	28752/28752	---M--	200	added ('OK')	image/png	etag:%225781d1d5e46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/weSimplify_iconsDesktop.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/weSimplify_iconsDesktop.png	(from http://www.livebroker.com.au/)
10:54:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:23%20GMT	http://www.livebroker.com.au/getattachment/c3f24fb3-9aa6-473b-a42d-0e9f259bdb65/Jargon-Buster.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/c3f24fb3-9aa6-473b-a42d-0e9f259bdb65/Jargon-Buster.2d.delayed	(from http://www.livebroker.com.au/)
10:54:27	29170/29170	---M--	200	added ('OK')	image/png	etag:%22386c381d5e46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/weSimplify_iconsMobile.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/weSimplify_iconsMobile.png	(from http://www.livebroker.com.au/)
10:54:27	14167/14167	---M--	200	added ('OK')	image/jpeg	etag:%2278658e982147d01:0%22	http://www.livebroker.com.au/livebroker/files/c3/c3f24fb3-9aa6-473b-a42d-0e9f259bdb65.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/c3/c3f24fb3-9aa6-473b-a42d-0e9f259bdb65.jpg	(from http://www.livebroker.com.au/)
10:54:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:26%20GMT	http://www.livebroker.com.au/getattachment/fe607792-6171-40ef-a37c-d86911140ba4/Life-milestones-to-budget-for.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/fe607792-6171-40ef-a37c-d86911140ba4/Life-milestones-to-budget-for.2f.delayed	(from http://www.livebroker.com.au/)
10:54:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:27%20GMT	http://www.livebroker.com.au/getattachment/6038c4de-8898-4aef-aa58-ed655789ccb9/What-is-the-home-loan-process.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/6038c4de-8898-4aef-aa58-ed655789ccb9/What-is-the-home-loan-process.31.delayed	(from http://www.livebroker.com.au/)
10:54:29	44131/44131	---M--	200	added ('OK')	image/jpeg	etag:%22a23d3a62147d01:0%22	http://www.livebroker.com.au/livebroker/files/43/43c8be60-558a-41d1-8761-32cdd8c91011.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/43/43c8be60-558a-41d1-8761-32cdd8c91011.jpg	(from http://www.livebroker.com.au/)
10:54:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:29%20GMT	http://www.livebroker.com.au/getattachment/081c2e4e-2726-4af1-a2a0-06620165764e/First-home-buyer-basics-2.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/081c2e4e-2726-4af1-a2a0-06620165764e/First-home-buyer-basics-2.33.delayed	(from http://www.livebroker.com.au/)
10:54:33	35128/35128	---M--	200	added ('OK')	image/jpeg	etag:%22d8f0e3ae2147d01:0%22	http://www.livebroker.com.au/livebroker/files/60/6038c4de-8898-4aef-aa58-ed655789ccb9.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/60/6038c4de-8898-4aef-aa58-ed655789ccb9.jpg	(from http://www.livebroker.com.au/)
10:54:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Jun%202016%2000:54:33%20GMT	http://www.livebroker.com.au/getattachment/ab2367b7-87ec-4e15-8461-9bafda8012a9/First-home-buyer-basics-1.aspx	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/getattachment/ab2367b7-87ec-4e15-8461-9bafda8012a9/First-home-buyer-basics-1.35.delayed	(from http://www.livebroker.com.au/)
10:54:34	42096/42096	---M--	200	added ('OK')	image/jpeg	etag:%2239f780972147d01:0%22	http://www.livebroker.com.au/livebroker/files/fe/fe607792-6171-40ef-a37c-d86911140ba4.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/fe/fe607792-6171-40ef-a37c-d86911140ba4.jpg	(from http://www.livebroker.com.au/)
10:54:37	46747/46747	---M--	200	added ('OK')	image/jpeg	etag:%22d56c20ae2147d01:0%22	http://www.livebroker.com.au/livebroker/files/08/081c2e4e-2726-4af1-a2a0-06620165764e.jpg	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/livebroker/files/08/081c2e4e-2726-4af1-a2a0-06620165764e.jpg	(from http://www.livebroker.com.au/)
10:54:38	26352/26352	---M--	200	added ('OK')	image/png	etag:%226bfb94af33d01:0%22	https://authoring.livebroker.com.au/media/LiveBroker/General/calendar-large-icon.png	C:/temp/websites/livebroker/LiveBroker/authoring.livebroker.com.au/media/LiveBroker/General/calendar-large-icon.png	(from http://www.livebroker.com.au/)
